Date,Open,High,Low,Close,Adj Close,Volume,,,,,,,,,,,,,
02/01/2018,106.59,106.59,106.59,106.59,89.17,-,,,,,,,,,,,,,
03/01/2018,106.59,106.59,106.59,106.59,89.17,-,,,,,,,,,,,,,
04/01/2018,106.4,106.4,106.4,106.47,89.07,2853,,,,,,,,,,,,,
05/01/2018,106.47,106.47,106.47,106.47,89.07,-,,,,,,,,,,,,,
08/01/2018,106.47,106.47,106.47,106.47,89.07,-,,,,,,,,,,,,,
09/01/2018,106.5,106.5,106.44,106.33,88.95,12868,,,,,,,,,,,,,
10/01/2018,106.33,106.33,106.33,106.33,88.95,-,,,,,,,,,,,,,
11/01/2018,106.33,106.33,106.33,106.33,88.95,-,,,,,,,,,,,,,
12/01/2018,106.33,106.33,106.33,106.33,88.95,-,,,,,,,,,,,,,
15/01/2018,106.4,106.49,106.4,106.36,88.97,1429,,,,,,,,,,,,,
16/01/2018,106.36,106.36,106.36,106.36,88.97,-,,,,,,,,,,,,,
17/01/2018,106.36,106.36,106.36,106.36,88.97,-,,,,,,,,,,,,,
18/01/2018,106.17,106.17,106.17,106.02,88.69,5,,,,,,,,,,,,,
19/01/2018,106.02,106.02,106.02,106.02,88.69,-,,,,,,,,,,,,,
22/01/2018,106.02,106.02,106.02,106.02,88.69,-,,,,,,,,,,,,,
23/01/2018,106.02,106.02,106.02,106.02,88.69,-,,,,,,,,,,,,,
24/01/2018,106.02,106.02,106.02,106.02,88.69,-,,,,,,,,,,,,,
25/01/2018,105.96,105.96,105.96,105.81,88.51,45,,,,,,,,,,,,,
26/01/2018,105.81,105.81,105.81,105.81,88.51,-,,,,,,,,,,,,,
29/01/2018,105.81,105.81,105.81,105.81,88.51,-,,,,,,,,,,,,,
30/01/2018,105.81,105.81,105.81,105.81,88.51,-,,,,,,,,,,,,,
31/01/2018,105.81,105.81,105.81,105.81,88.51,-,,,,,,,,,,,,,
01/02/2018,105.81,105.81,105.81,105.81,89.46,-,,,,,,,,,,,,,
02/02/2018,104.05,104.59,104,103.98,87.91,1439,,,,,,,,,,,,,
05/02/2018,103.68,103.68,103.68,103.85,87.8,524,,,,,,,,,,,,,
06/02/2018,103.85,103.85,103.85,103.85,87.8,-,,,,,,,,,,,,,
07/02/2018,104.19,104.19,104.19,104.05,87.97,765,,,,,,,,,,,,,
08/02/2018,103.69,103.69,103.69,103.69,87.67,578,,,,,,,,,,,,,
09/02/2018,103.69,103.69,103.69,103.69,87.67,-,,,,,,,,,,,,,
12/02/2018,103.32,103.32,103.32,103.52,87.52,621,,,,,,,,,,,,,
13/02/2018,103.5,103.55,103.5,103.39,87.41,843,,,,,,,,,,,,,
14/02/2018,103.39,103.39,103.39,103.39,87.41,-,,,,,,,,,,,,,
15/02/2018,103.39,103.39,103.39,103.39,87.41,-,,,,,,,,,,,,,
16/02/2018,103.51,103.51,103.51,103.36,87.39,37,,,,,,,,,,,,,
19/02/2018,103.36,103.36,103.36,103.36,87.39,-,,,,,,,,,,,,,
20/02/2018,103.36,103.36,103.36,103.36,87.39,-,,,,,,,,,,,,,
21/02/2018,103.36,103.36,103.36,103.36,87.39,-,,,,,,,,,,,,,
22/02/2018,103.36,103.36,103.36,103.36,87.39,-,,,,,,,,,,,,,
23/02/2018,103.36,103.36,103.36,103.36,87.39,-,,,,,,,,,,,,,
26/02/2018,103.5,103.5,103.5,103.41,87.43,20,,,,,,,,,,,,,
27/02/2018,103.92,103.92,103.92,103.14,87.2,20,,,,,,,,,,,,,
28/02/2018,101.71,101.71,101.71,103.24,87.29,23,,,,,,,,,,,,,
01/03/2018,103.06,103.06,103.06,103.33,87.36,12148,,,,,,,,,,,,,
02/03/2018,103.52,103.52,103.39,103.11,87.18,582,,,,,,,,,,,,,
05/03/2018,103.42,103.42,103.42,103.14,87.2,3,,,,,,,,,,,,,
06/03/2018,103.37,103.37,103.37,103.27,87.31,48,,,,,,,,,,,,,
07/03/2018,103.27,103.27,103.27,103.27,87.31,-,,,,,,,,,,,,,
08/03/2018,103.27,103.27,103.27,103.27,87.31,-,,,,,,,,,,,,,
09/03/2018,103.27,103.27,103.27,103.27,87.31,-,,,,,,,,,,,,,
12/03/2018,103.42,103.42,103.42,103.15,87.21,725,,,,,,,,,,,,,
13/03/2018,103.15,103.15,103.15,103.15,87.21,-,,,,,,,,,,,,,
14/03/2018,103.15,103.15,103.15,103.15,87.21,-,,,,,,,,,,,,,
15/03/2018,103.15,103.15,103.15,103.15,87.21,-,,,,,,,,,,,,,
16/03/2018,103.15,103.15,103.15,103.15,87.21,-,,,,,,,,,,,,,
19/03/2018,103.25,103.25,103.2,103.45,87.46,1870,,,,,,,,,,,,,
20/03/2018,103.45,103.45,103.45,103.45,87.46,-,,,,,,,,,,,,,
21/03/2018,103.45,103.45,103.45,103.45,87.46,-,,,,,,,,,,,,,
22/03/2018,103.45,103.45,103.45,103.45,87.46,-,,,,,,,,,,,,,
23/03/2018,103.45,103.45,103.45,103.45,87.46,-,,,,,,,,,,,,,
26/03/2018,103.45,103.45,103.45,103.45,87.46,-,,,,,,,,,,,,,
27/03/2018,103.45,103.45,103.45,103.45,87.46,-,,,,,,,,,,,,,
28/03/2018,103.45,103.45,103.45,103.45,87.46,-,,,,,,,,,,,,,
29/03/2018,103.45,103.45,103.45,103.45,87.46,-,,,,,,,,,,,,,
03/04/2018,103.96,103.96,103.96,103.79,87.75,963,,,,,,,,,,,,,
04/04/2018,103.9,103.9,103.75,103.81,87.77,373,,,,,,,,,,,,,
05/04/2018,103.65,103.65,103.65,103.65,87.63,-,,,,,,,,,,,,,
06/04/2018,103.65,103.65,103.65,103.65,87.63,-,,,,,,,,,,,,,
09/04/2018,103.7,103.7,103.7,103.79,87.75,331,,,,,,,,,,,,,
10/04/2018,103.83,103.83,103.83,103.83,87.78,-,,,,,,,,,,,,,
11/04/2018,103.83,103.83,103.83,103.83,87.78,-,,,,,,,,,,,,,
12/04/2018,103.83,103.83,103.83,103.83,87.78,-,,,,,,,,,,,,,
13/04/2018,103.81,103.81,103.81,103.8,87.76,1822,,,,,,,,,,,,,
16/04/2018,103.75,103.75,103.75,103.75,87.72,-,,,,,,,,,,,,,
17/04/2018,103.75,103.75,103.75,103.75,87.72,-,,,,,,,,,,,,,
18/04/2018,103.75,103.75,103.75,103.75,87.72,-,,,,,,,,,,,,,
19/04/2018,103.75,103.75,103.75,103.75,87.72,-,,,,,,,,,,,,,
20/04/2018,103.75,103.75,103.75,103.75,87.72,-,,,,,,,,,,,,,
23/04/2018,102.96,102.96,102.96,103.03,87.11,782,,,,,,,,,,,,,
24/04/2018,102.99,102.99,102.99,102.99,87.07,-,,,,,,,,,,,,,
25/04/2018,102.67,102.67,102.67,102.81,86.92,1,,,,,,,,,,,,,
26/04/2018,102.85,102.85,102.85,102.85,86.96,-,,,,,,,,,,,,,
27/04/2018,103.53,103.53,103.53,103.06,87.13,61,,,,,,,,,,,,,
30/04/2018,103.19,103.19,103.19,103.19,87.25,-,,,,,,,,,,,,,
01/05/2018,103.02,103.02,103.01,103.03,87.11,769,,,,,,,,,,,,,
02/05/2018,102.89,102.89,102.89,102.98,87.07,764,,,,,,,,,,,,,
