Date,Price,Open,High,Low,Change %,,
01/02/2018,1.488,1.45,1.493,1.45,1.57%,,
01/03/2018,1.629,1.654,1.664,1.621,-1.81%,,
01/05/2018,1.854,1.874,1.874,1.851,2.60%,,
01/06/2018,1.91,1.915,1.938,1.905,-0.26%,,
01/08/2018,2.025,2.033,2.033,2.025,-0.39%,,
01/10/2018,2.206,2.201,2.214,2.201,0.32%,,
01/11/2018,2.325,2.33,2.333,2.322,-0.34%,,
15/01/2018,1.445,1.447,1.447,1.445,0.00%,,
16/01/2018,1.429,1.445,1.46,1.235,-1.08%,,
17/01/2018,1.445,1.445,1.447,1.442,1.12%,,
18/01/2018,1.44,1.44,1.473,1.435,-0.35%,,
19/01/2018,1.434,1.44,1.44,1.432,-0.42%,,
22/01/2018,1.424,1.429,1.437,1.424,-0.70%,,
23/01/2018,1.447,1.455,1.455,1.445,1.62%,,
24/01/2018,1.44,1.455,1.455,1.435,-0.48%,,
25/01/2018,1.427,1.435,1.463,1.424,-0.90%,,
26/01/2018,1.422,1.422,1.45,1.414,-0.35%,,
29/01/2018,1.409,1.422,1.468,1.409,-0.91%,,
30/01/2018,1.46,1.45,1.463,1.445,3.62%,,
31/01/2018,1.465,1.46,1.478,1.455,0.34%,,
02/01/2018,1.411,1.393,1.437,1.386,1.44%,,
02/02/2018,1.486,1.475,1.491,1.473,-0.13%,,
02/03/2018,1.644,1.628,1.649,1.623,0.92%,,
02/04/2018,1.723,1.723,1.728,1.723,0.47%,,
02/05/2018,1.823,1.874,1.874,1.823,-1.67%,,
02/07/2018,1.935,1.935,1.943,1.92,0.78%,,
02/08/2018,2.007,2.028,2.028,2,-0.89%,,
02/10/2018,2.223,2.346,2.346,2.217,0.77%,,
02/11/2018,2.327,2.319,2.355,2.319,0.09%,,
13/02/2018,1.608,1.619,1.685,1.593,2.29%,,
14/02/2018,1.588,1.608,1.616,1.573,-1.24%,,
15/02/2018,1.598,1.58,1.598,1.57,0.63%,,
16/02/2018,1.608,1.611,1.626,1.598,0.63%,,
19/02/2018,1.608,1.6,1.608,1.6,0.00%,,
20/02/2018,1.61,1.608,1.623,1.603,0.12%,,
21/02/2018,1.647,1.649,1.657,1.642,2.30%,,
22/02/2018,1.644,1.644,1.657,1.644,-0.18%,,
23/02/2018,1.644,1.644,1.646,1.639,0.00%,,
26/02/2018,1.646,1.644,1.656,1.639,0.12%,,
27/02/2018,1.675,1.675,1.68,1.675,1.76%,,
28/02/2018,1.659,1.67,1.677,1.66,-0.96%,,
03/01/2018,1.404,1.465,1.465,1.401,-0.50%,,
03/04/2018,1.754,1.782,1.782,1.752,1.80%,,
03/05/2018,1.831,1.828,1.841,1.821,0.44%,,
03/07/2018,1.979,1.977,1.982,1.974,2.27%,,
03/08/2018,2.007,2.007,2.012,2.004,0.00%,,
03/09/2018,2.102,2.102,2.102,2.102,-0.12%,,
03/10/2018,2.223,2.346,2.346,2.217,0.00%,,
03/12/2018,2.342,2.358,2.371,2.34,-0.89%,,
13/03/2018,1.726,1.711,1.729,1.701,2.62%,,
14/03/2018,1.754,1.731,1.762,1.721,1.62%,,
15/03/2018,1.772,1.762,1.774,1.751,1.03%,,
16/03/2018,1.779,1.772,1.782,1.761,0.40%,,
19/03/2018,1.769,1.782,1.802,1.766,-0.56%,,
20/03/2018,1.8,1.795,1.808,1.795,1.75%,,
21/03/2018,1.746,1.798,1.8,1.734,-3.00%,,
22/03/2018,1.723,1.749,1.823,1.711,-1.32%,,
23/03/2018,1.728,1.72,1.795,1.72,0.29%,,
26/03/2018,1.746,1.731,1.8,1.725,1.04%,,
27/03/2018,1.775,1.782,1.808,1.772,1.66%,,
28/03/2018,1.736,1.775,1.775,1.734,-2.20%,,
29/03/2018,1.715,1.728,1.754,1.713,-1.21%,,
04/01/2018,1.404,1.432,1.445,1.404,0.00%,,
04/04/2018,1.708,1.752,1.764,1.703,-2.62%,,
04/05/2018,1.836,1.823,1.841,1.823,0.27%,,
04/06/2018,1.91,1.915,1.925,1.905,0.00%,,
04/07/2018,1.972,1.972,1.972,1.972,-0.38%,,
04/09/2018,2.117,2.112,2.127,2.096,0.74%,,
04/10/2018,2.222,2.23,2.348,2.222,-0.04%,,
04/12/2018,2.423,2.397,2.428,2.389,3.46%,,
13/04/2018,1.759,1.751,1.761,1.746,0.74%,,
16/04/2018,1.754,1.756,1.774,1.748,-0.28%,,
17/04/2018,1.792,1.788,1.795,1.777,2.17%,,
18/04/2018,1.813,1.787,1.828,1.787,1.17%,,
19/04/2018,1.826,1.813,1.833,1.805,0.72%,,
20/04/2018,1.807,1.833,1.833,1.807,-1.04%,,
23/04/2018,1.825,1.812,1.825,1.81,1.00%,,
24/04/2018,1.867,1.874,1.88,1.864,2.30%,,
