,BlackRock Multi,iShares iBoxx,BlackRock EDF,iShares 20+,Vanguard EIF,Cash
,,,,,,
02/01/2018,8.489754677,66.99462891,12.96642876,112.0281677,26.49379539,21.90210848
,,,,,,
03/01/2018,8.520377159,67.31678009,13.01188278,112.5638123,26.57180023,21.90295998
,,,,,,
04/01/2018,8.54334259,67.43188477,13.1027956,112.5459442,26.67816734,21.90381151
,,,,,,
05/01/2018,8.551000595,67.47790527,13.17097855,112.224556,26.80581474,21.90466308
,,,,,,
08/01/2018,8.558651924,67.42422485,13.14825153,112.1531677,26.84127235,21.90721797
,,,,,,
09/01/2018,8.558651924,67.21707916,13.17097855,110.6533737,26.8554554,21.90806967
,,,,,,
10/01/2018,8.54334259,67.07134247,13.18234539,110.5194855,26.80581474,21.9089214
,,,,,,
11/01/2018,8.558651924,67.29380798,13.25621223,110.9747467,26.976017,21.90977316
,,,,,,
12/01/2018,8.573966026,67.1787262,13.36417103,111.1622162,27.13202858,21.91062496
,,,,,,
16/01/2018,8.573966026,67.14039612,13.33576202,111.6264267,27.03983498,21.91403248
,,,,,,
17/01/2018,8.58162117,67.14804077,13.42667294,111.4746704,27.3022213,21.91488444
,,,,,,
18/01/2018,8.573966026,67.07904816,13.415308,110.4390945,27.25258446,21.91573644
,,,,,,
19/01/2018,8.589282036,67.14804077,13.47212601,109.8588409,27.36604309,21.91658847
,,,,,,
22/01/2018,8.604590416,67.20941925,13.56872272,109.9659424,27.58588409,21.91914475
,,,,,,
23/01/2018,8.612242699,67.40884399,13.59144974,110.4390945,27.57878685,21.91999691
,,,,,,
24/01/2018,8.612242699,67.3091507,13.63690662,109.8409653,27.60006142,21.92084911
,,,,,,
25/01/2018,8.604590416,67.26313019,13.64827061,110.7426376,27.5929718,21.92170133
,,,,,,
26/01/2018,8.619895935,67.31678009,13.78464031,110.331955,27.97591019,21.92255359
,,,,,,
29/01/2018,8.589282036,67.07904816,13.73918819,109.5642548,27.78444099,21.92511057
,,,,,,
30/01/2018,8.551000595,66.84889221,13.54031372,108.9214401,27.42986679,21.92596297
,,,,,,
31/01/2018,8.580962181,66.96395874,13.5516758,109.5642548,27.38022614,21.92681539
,,,,,,
