Date,Open,High,Low,Close,Adj Close ,Volume,,
02/01/2018,87.3,87.36,87.25,87.34,60.32,7223500,,
03/01/2018,87.34,87.78,87.34,87.76,60.61,20557100,,
04/01/2018,87.82,87.99,87.77,87.91,60.71,13610900,,
05/01/2018,87.97,88.01,87.88,87.97,60.75,9851600,,
08/01/2018,87.96,88.03,87.86,87.9,60.71,9804000,,
09/01/2018,87.99,87.99,87.61,87.63,60.52,13550400,,
10/01/2018,87.5,87.56,87.27,87.44,60.39,33182000,,
11/01/2018,87.52,87.74,87.46,87.73,60.59,12911500,,
12/01/2018,87.59,87.71,87.55,87.58,60.48,12088500,,
16/01/2018,87.64,87.73,87.45,87.53,60.45,18474100,,
17/01/2018,87.56,87.69,87.52,87.54,60.46,16340400,,
18/01/2018,87.5,87.56,87.4,87.45,60.39,16134900,,
19/01/2018,87.44,87.55,87.39,87.54,60.46,14401800,,
22/01/2018,87.49,87.65,87.49,87.62,60.51,16674700,,
23/01/2018,87.68,87.9,87.63,87.88,60.69,11600300,,
24/01/2018,87.8,87.88,87.65,87.75,60.6,10746300,,
25/01/2018,87.9,87.9,87.61,87.69,60.56,11039300,,
26/01/2018,87.72,87.84,87.63,87.76,60.61,7164100,,
29/01/2018,87.63,87.68,87.43,87.45,60.39,19590800,,
30/01/2018,87.45,87.46,87.14,87.15,60.19,18469300,,
31/01/2018,87.3,87.42,87.21,87.3,60.29,12692800,,
01/02/2018,86.86,86.99,86.72,86.77,60.18,17920000,,
02/02/2018,86.55,86.62,86.15,86.22,59.8,24787000,,
05/02/2018,86.13,86.51,85.58,85.74,59.46,28071300,,
06/02/2018,85.51,86.36,85.51,86.26,59.82,33924300,,
07/02/2018,86.38,86.62,85.86,85.94,59.6,24298100,,
08/02/2018,85.91,86,85.18,85.19,59.08,25419300,,
09/02/2018,85.28,85.42,84.07,84.95,58.92,47230300,,
12/02/2018,85.2,85.66,85.16,85.53,59.32,23448100,,
13/02/2018,85.32,85.42,85.11,85.26,59.13,14679900,,
14/02/2018,84.99,85.44,84.9,85.41,59.23,19332400,,
15/02/2018,85.61,86.1,85.61,86.1,59.71,21931600,,
16/02/2018,86.09,86.51,86.07,86.45,59.96,29195600,,
20/02/2018,86.2,86.38,86.11,86.15,59.75,22740600,,
21/02/2018,86.24,86.38,85.74,85.76,59.48,15656700,,
22/02/2018,85.8,86.14,85.74,85.82,59.52,14626900,,
23/02/2018,85.89,86.42,85.83,86.39,59.91,15919500,,
26/02/2018,86.45,86.68,86.39,86.54,60.02,10996300,,
